,Date,Open,High,Low,Close,Volume,Changes
0,2017-12-08,314.6,316.98,311.26,315.13,3468458,
1,2017-12-07,312.0,318.63,311.05,311.24,4780597,
2,2017-12-06,300.1,313.39,300.0,313.26,7195341,
3,2017-12-05,302.0,308.0,301.0,303.7,4646520,-11.43
4,2017-12-04,306.5,308.26,300.61,305.2,5835140,-6.04
5,2017-12-01,305.44,310.32,305.05,306.53,4292868,-6.73
6,2017-11-30,308.56,310.7,304.54,308.85,4351587,5.15
7,2017-11-29,317.3,318.0,301.23,307.54,8767398,2.34
8,2017-11-28,316.36,320.0,313.92,317.55,4949491,11.02
