,Date,Negative,Neutral,Positive,Close,Changes
0,2017-11-29,26,9,19,307.54,2.340000000000032
1,2017-11-30,27,7,15,308.85,5.150000000000034
2,2017-12-01,23,6,26,306.53,-6.730000000000018
3,2017-12-04,32,13,21,305.2,-6.0400000000000205
4,2017-12-05,49,8,21,303.7,-11.430000000000007
