-1,Sat Dec 09 07:40:56 +0000 2017,I don t maxed stock fun drive it 
1,Sat Dec 09 06:44:15 +0000 2017,Please RT Tesla Aims Raise 500 Million Stock Offering Model
0,Sat Dec 09 06:18:05 +0000 2017, A reminder investors everywhere not having opinion position fine too Applies Tesla stock house fixer upp 
-1,Sat Dec 09 06:08:08 +0000 2017,Tesla s Stock Chart Shows Death Cross Fast Approaching
-1,Sat Dec 09 05:54:36 +0000 2017,I gonna buy Tesla stock asked SSN
-1,Sat Dec 09 05:45:54 +0000 2017, He recommended Amazon Tesla And he s announcing newest pick best stock buy now http 
1,Sat Dec 09 05:28:22 +0000 2017,Closeup Of Tesla Coil With Electric Pulses Stock Photo Getty Images
-1,Sat Dec 09 05:26:41 +0000 2017,It s funny looking I excited gains Tesla stock 
-1,Sat Dec 09 04:45:29 +0000 2017,shorting tesla stock terrible idea trust me ur homework
1,Sat Dec 09 04:38:57 +0000 2017,comment post about 
-1,Sat Dec 09 04:35:11 +0000 2017,Selling Teslas depends keeping targeted buyers s 
-1,Sat Dec 09 04:32:55 +0000 2017,ridiculously priced higher way just b 
-1,Sat Dec 09 04:29:16 +0000 2017,Aye fuck Tesla stock convert Bitcoin 
1,Sat Dec 09 04:24:18 +0000 2017,If you re bed C lowns I n America stock price goes up Tesla gt gt SpaceX Amazon m 
-1,Sat Dec 09 04:16:39 +0000 2017,See That s say ur ignorant U don t fac 
-1,Sat Dec 09 04:07:09 +0000 2017,Oh really Speaking stock use brain u any 
-1,Sat Dec 09 04:04:21 +0000 2017,Just extra careful shorting stock ok It s fine pounce 
-1,Sat Dec 09 03:56:40 +0000 2017, Tesla s Stock Chart Shows Death Cross Fast Approaching
0,Sat Dec 09 03:43:33 +0000 2017,Using old parts makes wonder stock used Tesla cars How a 
-1,Sat Dec 09 03:43:23 +0000 2017,Insider Selling Tesla Inc TSLA VP Sells Shares Stock
-1,Sat Dec 09 03:35:11 +0000 2017,Tesla s Stock Chart Shows Death Cross Fast Approaching
1,Sat Dec 09 02:39:01 +0000 2017,stock falls GOP unveils tax plan eliminates electric car subsidy TSLA
1,Sat Dec 09 02:05:04 +0000 2017, Tesla s sinking stock short sellers 1 billion 
-1,Sat Dec 09 02:02:28 +0000 2017,Stock options reports released Boeing Delta Airlines GoDaddy Trivago Tesla Motors
-1,Sat Dec 09 01:31:29 +0000 2017,I stock hot wheels 
1,Sat Dec 09 00:53:26 +0000 2017, Tesla exceeding order cylindrical battery cells leaning companies stock make 
-1,Sat Dec 09 00:33:35 +0000 2017,Hey James I sent email didn t hear back I d interested joining defend bull 
1,Sat Dec 09 00:21:49 +0000 2017,Does literally just watch Tesla stock religiously David lose million dollar 
1,Sat Dec 09 00:11:37 +0000 2017,Jimmy Cramer hedge fund manager turned media guy Same guy said Tesla worthless stock 
-1,Sat Dec 09 00:05:30 +0000 2017,Today I acquired stock Tesla bought bitcoin far good
1,Sat Dec 09 00:01:47 +0000 2017,Tesla exceeding order cylindrical battery cells leaning companies stock m 
-1,Fri Dec 08 23:56:21 +0000 2017, BA TSLA Sorry Elon Musk Boeing s Stock Still Looks Better Than Tesla s
1,Fri Dec 08 23:55:14 +0000 2017,This Chevron Economist Isn t Worried About Electric Cars Bloomberg
1,Fri Dec 08 23:55:11 +0000 2017,Sorry Elon Musk Boeing s Stock Still Looks Better Than Tesla s
-1,Fri Dec 08 23:10:55 +0000 2017,Cringe worthy hide accent It s like accent baffle Americans 
-1,Fri Dec 08 21:45:50 +0000 2017,Tesla Truck Won t Move Stock s Needle
-1,Fri Dec 08 21:44:39 +0000 2017,UPDATE Tesla stock downgraded sell signs Model demand starting flag
-1,Fri Dec 08 21:16:54 +0000 2017,Tesla Truck Won t Move Stock s Needle UK
-1,Fri Dec 08 21:08:27 +0000 2017,Tesla Truck Will Slowly Stock s Needle 
-1,Fri Dec 08 20:56:46 +0000 2017,Tesla Truck Won t Move Stock s Needle Tesla Truck Won t Move Stock s Needle TheStreet News UK business
